Classifier,Sensitivity,Specificity,Balanced Accuracy,Accuracy,Precision,F1-score,MCC,AUC,auPR
SVM,0.812,0.669,0.74,0.74,0.715,0.759,0.485,0.805,0.776
XGB,0.736,0.687,0.712,0.712,0.703,0.719,0.424,0.777,0.747
ET,0.728,0.683,0.705,0.705,0.697,0.712,0.411,0.76,0.709
MLP,0.739,0.71,0.724,0.724,0.724,0.73,0.449,0.793,0.767
PLS,0.702,0.614,0.658,0.658,0.644,0.67,0.32,0.716,0.672
LR,0.722,0.674,0.698,0.698,0.688,0.704,0.397,0.767,0.741
NB,0.66,0.576,0.618,0.618,0.612,0.633,0.239,0.663,0.623
RF,0.723,0.686,0.705,0.705,0.697,0.71,0.41,0.766,0.724
DT,0.621,0.637,0.629,0.629,0.633,0.626,0.258,0.633,0.596
KNN,0.695,0.657,0.676,0.676,0.672,0.682,0.353,0.734,0.692